datetime,open,high,low,close,volume
2024-01-02 09:00:00,5625.207,5628.663,5623.48,5627.511,7890
2024-01-02 09:01:00,5628.087,5632.118,5621.752,5622.904,17763
2024-01-02 09:02:00,5622.904,5622.904,5615.993,5617.721,18654
2024-01-02 09:03:00,5618.297,5618.297,5609.658,5613.114,21076
2024-01-02 09:04:00,5613.69,5613.69,5607.355,5608.507,13618
2024-01-02 09:05:00,5607.931,5610.81,5604.476,5609.658,13085
2024-01-02 09:06:00,5609.658,5610.81,5604.476,5607.931,12241
2024-01-02 09:07:00,5607.931,5611.386,5606.779,5609.083,8578
2024-01-02 09:08:00,5608.507,5611.386,5607.931,5609.083,6486
2024-01-02 09:09:00,5609.083,5610.234,5608.507,5609.658,5112
2024-01-02 09:10:00,5609.658,5609.658,5606.779,5609.083,4788
2024-01-02 09:11:00,5609.083,5613.114,5607.931,5611.962,14041
2024-01-02 09:12:00,5611.962,5615.993,5611.386,5613.114,8708
2024-01-02 09:13:00,5613.114,5614.266,5610.234,5611.386,4988
2024-01-02 09:14:00,5611.962,5614.266,5610.234,5613.114,6133
2024-01-02 09:15:00,5613.114,5614.841,5611.386,5611.962,4187
2024-01-02 09:16:00,5611.386,5612.538,5608.507,5609.083,6158
2024-01-02 09:17:00,5609.658,5611.386,5608.507,5609.658,2791
2024-01-02 09:18:00,5609.658,5618.297,5609.083,5617.721,11889
2024-01-02 09:19:00,5617.721,5618.297,5614.841,5617.721,4655
2024-01-02 09:20:00,5617.721,5620.024,5617.721,5619.448,6326
2024-01-02 09:21:00,5618.873,5621.176,5618.873,5620.024,6409
2024-01-02 09:22:00,5620.024,5624.631,5620.024,5624.055,9135
2024-01-02 09:23:00,5624.055,5626.359,5623.48,5624.055,8761
2024-01-02 09:24:00,5624.631,5624.631,5621.752,5624.055,7343
2024-01-02 09:25:00,5623.48,5624.055,5618.873,5618.873,6179
2024-01-02 09:26:00,5619.448,5621.752,5618.873,5620.6,4774
2024-01-02 09:27:00,5620.6,5622.328,5620.024,5621.752,3062
2024-01-02 09:28:00,5621.176,5624.055,5620.6,5622.904,6986
2024-01-02 09:29:00,5623.48,5626.935,5622.904,5625.783,7015
2024-01-02 09:30:00,5625.783,5629.238,5625.783,5627.511,6176
2024-01-02 09:31:00,5627.511,5628.087,5625.783,5625.783,3794
2024-01-02 09:32:00,5625.783,5626.935,5620.6,5621.176,8382
2024-01-02 09:33:00,5620.6,5622.904,5618.297,5622.904,7865
2024-01-02 09:34:00,5622.904,5622.904,5621.176,5622.904,2468
2024-01-02 09:35:00,5622.328,5624.631,5621.752,5624.631,3527
2024-01-02 09:36:00,5624.631,5624.631,5619.448,5621.752,6219
2024-01-02 09:37:00,5621.176,5623.48,5621.176,5622.328,2341
2024-01-02 09:38:00,5621.752,5624.631,5620.024,5624.055,3297
2024-01-02 09:39:00,5624.631,5625.207,5622.328,5623.48,3415
2024-01-02 09:40:00,5623.48,5625.207,5622.904,5624.631,2997
2024-01-02 09:41:00,5624.055,5625.207,5622.904,5624.055,1772
2024-01-02 09:42:00,5624.055,5628.663,5624.055,5628.663,5849
2024-01-02 09:43:00,5628.663,5634.997,5628.087,5634.421,20174
2024-01-02 09:44:00,5634.421,5634.997,5632.118,5633.27,6104
2024-01-02 09:45:00,5632.694,5634.997,5632.118,5633.845,6339
2024-01-02 09:46:00,5633.845,5634.421,5632.118,5632.118,2405
2024-01-02 09:47:00,5632.118,5633.27,5631.542,5632.118,2286
2024-01-02 09:48:00,5632.118,5632.694,5629.814,5632.118,7526
2024-01-02 09:49:00,5632.694,5633.27,5629.238,5631.542,5667
2024-01-02 09:50:00,5632.118,5634.421,5631.542,5633.845,4810
2024-01-02 09:51:00,5633.845,5636.149,5632.694,5633.27,9611
2024-01-02 09:52:00,5633.27,5635.573,5632.694,5635.573,3657
2024-01-02 09:53:00,5635.573,5636.149,5632.694,5633.27,4842
2024-01-02 09:54:00,5632.694,5637.301,5630.39,5635.573,14539
2024-01-02 09:55:00,5636.149,5640.18,5635.573,5639.604,14424
2024-01-02 09:56:00,5639.028,5639.604,5637.877,5639.604,4234
2024-01-02 09:57:00,5639.028,5644.787,5637.301,5643.06,22914
2024-01-02 09:58:00,5643.635,5644.211,5641.332,5641.908,8154
2024-01-02 09:59:00,5642.484,5645.363,5640.756,5645.363,10344
2024-01-02 10:00:00,5644.787,5648.243,5644.211,5645.363,21271
2024-01-02 10:01:00,5645.363,5647.091,5645.363,5645.939,2973
2024-01-02 10:02:00,5645.939,5648.818,5645.363,5647.667,6260
2024-01-02 10:03:00,5647.091,5649.97,5647.091,5648.243,8261
2024-01-02 10:04:00,5648.818,5649.394,5647.091,5648.243,4690
2024-01-02 10:05:00,5648.243,5649.97,5647.091,5648.818,6510
2024-01-02 10:06:00,5649.394,5650.546,5647.667,5648.243,6036
2024-01-02 10:07:00,5648.243,5650.546,5647.667,5649.394,2052
2024-01-02 10:08:00,5649.394,5651.698,5648.818,5650.546,6419
2024-01-02 10:09:00,5651.122,5652.274,5650.546,5651.122,4480
2024-01-02 10:10:00,5651.122,5653.425,5651.122,5652.274,8055
